gregorian_date,hijri_date,hijri_day,hijri_month_number,hijri_month_en,hijri_month_ar,hijri_year,hijri_weekday_en,hijri_weekday_ar,hijri_designation,holidays
03-09-0622,17-02-1,17,2,Ṣafar,صَفَر,1,Al Thalaata,الثلاثاء,AH,Urs of Imam Rabbani Ahmad al-Faruqi as-Sirhindi (ق)
04-09-0622,18-02-1,18,2,Ṣafar,صَفَر,1,Al Arba'a,الاربعاء,AH,
05-09-0622,19-02-1,19,2,Ṣafar,صَفَر,1,Al Khamees,الخميس,AH,
06-09-0622,20-02-1,20,2,Ṣafar,صَفَر,1,Al Juma'a,الجمعة,AH,
07-09-0622,21-02-1,21,2,Ṣafar,صَفَر,1,Al Sabt,السبت,AH,
08-09-0622,22-02-1,22,2,Ṣafar,صَفَر,1,Al Ahad,الاحد,AH,
09-09-0622,23-02-1,23,2,Ṣafar,صَفَر,1,Al Athnayn,الاثنين,AH,
10-09-0622,24-02-1,24,2,Ṣafar,صَفَر,1,Al Thalaata,الثلاثاء,AH,
11-09-0622,25-02-1,25,2,Ṣafar,صَفَر,1,Al Arba'a,الاربعاء,AH,
12-09-0622,26-02-1,26,2,Ṣafar,صَفَر,1,Al Khamees,الخميس,AH,
13-09-0622,27-02-1,27,2,Ṣafar,صَفَر,1,Al Juma'a,الجمعة,AH,
14-09-0622,28-02-1,28,2,Ṣafar,صَفَر,1,Al Sabt,السبت,AH,Martyrdom of Sayyidina al-Hassan al-Mujtaba (ر)
15-09-0622,29-02-1,29,2,Ṣafar,صَفَر,1,Al Ahad,الاحد,AH,
16-09-0622,01-03-1,1,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Athnayn,الاثنين,AH,
17-09-0622,02-03-1,2,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Thalaata,الثلاثاء,AH,
18-09-0622,03-03-1,3,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Arba'a,الاربعاء,AH,Urs of Shaykh Bahaʾuddin Shah Naqshband ق
19-09-0622,04-03-1,4,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Khamees,الخميس,AH,
20-09-0622,05-03-1,5,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Juma'a,الجمعة,AH,
21-09-0622,06-03-1,6,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Sabt,السبت,AH,Birth of Mawlāna Jalāluddīn Rūmi ق
22-09-0622,07-03-1,7,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Ahad,الاحد,AH,
23-09-0622,08-03-1,8,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Athnayn,الاثنين,AH,
24-09-0622,09-03-1,9,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Thalaata,الثلاثاء,AH,Urs of Shaykh Muhammad al-Masūm ق
25-09-0622,10-03-1,10,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Arba'a,الاربعاء,AH,
26-09-0622,11-03-1,11,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Khamees,الخميس,AH,
27-09-0622,12-03-1,12,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Juma'a,الجمعة,AH,Mawlid (Birth) al-Nabi ﷺ; Veiling of the Prophet Muhammad ﷺ; Birth of Mawlana Shaykh Abdullāh al Dāghestāni ق; Urs of Shaykh Abu Yāqub Yūsuf al-Hamadāni ق; Urs of Shaykh Abdul Khāliq al-Ghujdawāni ق; Urs of Mawlāna Ubaydullaāh Ahrār ق; Urs of Shaykh Muhammad az-Zāhid ق
28-09-0622,13-03-1,13,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Sabt,السبت,AH,
29-09-0622,14-03-1,14,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Ahad,الاحد,AH,
30-09-0622,15-03-1,15,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Athnayn,الاثنين,AH,
01-10-0622,16-03-1,16,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Thalaata,الثلاثاء,AH,
02-10-0622,17-03-1,17,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Arba'a,الاربعاء,AH,Urs of Shaykh Mahmūd al-Anjir al-Faghnāwi ق; Urs of Shaykh Abu Ahmad as-Sughūri ق
03-10-0622,18-03-1,18,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Khamees,الخميس,AH,Urs of Shaykh Adnān Kabbāni ق
04-10-0622,19-03-1,19,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Juma'a,الجمعة,AH,
05-10-0622,20-03-1,20,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Sabt,السبت,AH,
06-10-0622,21-03-1,21,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Ahad,الاحد,AH,
07-10-0622,22-03-1,22,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Athnayn,الاثنين,AH,
08-10-0622,23-03-1,23,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Thalaata,الثلاثاء,AH,
09-10-0622,24-03-1,24,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Arba'a,الاربعاء,AH,
10-10-0622,25-03-1,25,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Khamees,الخميس,AH,
11-10-0622,26-03-1,26,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Juma'a,الجمعة,AH,
12-10-0622,27-03-1,27,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Sabt,السبت,AH,
13-10-0622,28-03-1,28,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Ahad,الاحد,AH,
14-10-0622,29-03-1,29,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Athnayn,الاثنين,AH,
15-10-0622,30-03-1,30,3,Rabīʿ al-awwal,رَبيع الأوّل,1,Al Thalaata,الثلاثاء,AH,
